time,data
1,50
2,43
3,44
4,40
5,52
6,61
7,44
8,40
9,39
10,45
11,44
12,43
13,61
14,42
15,51
16,41
17,52
18,43
19,54
20,40
21,52
22,52
23,50
24,40
25,49
26,52
27,48
28,43
29,52
30,43
31,40
32,43
33,52
34,40
35,44
36,52
37,43
38,67
39,51
40,47
41,49
42,52
43,43
44,44
45,40
46,48
47,52
48,50
49,43
50,52
51,44
52,43
53,40
54,41
55,52
56,44
57,43
58,43
59,43
60,52
61,50
62,43
63,44
64,40
65,52
66,61
67,44
68,40
69,39
70,45
71,44
72,43
73,61
74,42
75,51
76,41
77,52
78,43
79,54
80,40
81,52
82,52
83,50
84,40
85,49
86,52
87,48
88,43
89,52
90,43
91,40
92,43
93,52
94,40
95,44
96,52
97,43
98,67
99,51
100,47
101,49
102,52
103,43
104,44
105,40
106,48
107,52
108,50
109,43
110,52
111,44
112,43
113,40
114,41
115,52
116,44
117,43
118,43
119,43
120,52
